MouseID,DYRK1A_C,ITSN1_C,BDNF_C,NR2A_C,pAKT_C,pCAMKII_C,pELK_C,pERK_C,pJNK_C,PKCA_C,pMEK_C,pNR1_C,pNR2A_C,pNR2B_C,pPKCAB_C,pRSK_C,AKT_C,BRAF_C,CAMKII_C,ELK_C,ERK_C,GSK3B_C,JNK_C,MEK_C,TRKA_C,RSK_C,CTNNB1_C,SOD1_C,MTOR_C,pMTOR_C,RCAN1_C,AMPKA_C,NR2B_C,pNUMB_C,RAPTOR_C,TIAM1_C,pP70S6_C,NUMB_C,P70S6_C,pPKCG_C,CDK5_C,S6_C,RRP1_C,BAX_C,ARC_C,ERBB4_C,nNOS_C,GAD2_C,GluR4_C,CASP3_C,IL1B_C,P35_25_C,pCASP9_C,PSD95_C,Ubiquitin_C,pGSK3B_Tyr216_C,DYRK1A_N,ITSN1_N,BDNF_N,NR1_N,NR2A_N,pAKT_N,pCAMKII_N,pCREB_N,pELK_N,pERK_N,pJNK_N,PKCA_N,pMEK_N,pNR1_N,pNR2A_N,pNR2B_N,pPKCAB_N,pRSK_N,AKT_N,BRAF_N,CAMKII_N,CREB_N,ELK_N,ERK_N,GSK3B_N,JNK_N,MEK_N,TRKA_N,RSK_N,APP_N,CTNNB1_N,SOD1_N,MTOR_N,pMTOR_N,RCAN1_N,AMPKA_N,NR2B_N,pNUMB_N,RAPTOR_N,TIAM1_N,pP70S6_N,NUMB_N,P70S6_N,pGSK3B_S9_N,pPKCG_N,CDK5_N,S6_N,H3AcK9_N,RRP1_N,BAX_N,ARC_N,ERBB4_N,nNOS_N,GFAP_N,GAD2_N,GluR3_N,GluR4_N,CASP3_N,IL1B_N,P35_25_N,pCASP9_N,PSD95_N,SNCA_N,Ubiquitin_N,pGSK3B_Tyr216_N,SHH_N,APP_M,DYRK1A_M,ITSN1_M,TIAM1_M,NR1_M,NR2A_M,NR2B_M,pNR1_M,pNR2A_M,pNR2B_M,GluR3_M,GluR4_M,pGluR2_M,BDNF_M,NUMB_M,pNUMB_M,TRKA_M,PSD95_M,SYP_M,SNCA_M,Genotype,Treatment,Behavior,class
18898_1,NA,NA,NA,0.3182,NA,1.2822,NA,NA,NA,0.2688,0.4731,0.5046,0.3429,1.2324,0.3824,NA,0.9942,0.6416,0.2115,0.1452,1.4621,1.3817,0.4188,0.5431,0.5812,NA,NA,1.3759,0.4631,0.6468,NA,NA,0.4216,0.3587,NA,NA,2.3223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6649,1.108,0.358,1.9804,2.14,0.4122,2.3654,0.2629,0.6166,0.5051,0.9782,0.2725,0.317,1.7389,1.8842,1.5829,0.5389,0.478,0.4373,0.1694,0.2391,0.2481,0.2286,0.5734,0.8195,0.2606,0.5269,1.4582,0.3838,0.287,0.9095,0.247,0.5824,0.8159,1.038,0.4933,0.7052,0.3095,0.398,0.6459,1.3416,0.1581,1.2091,0.3183,2.9966,0.8376,0.8373,0.7464,1.38,0.6373,0.4214,0.3452,0.3239,0.257,0.2926,0.5698,0.3559,0.3548,0.8418,0.4674,1.3705,2.6565,0.1848,1.1332,1.8487,0.3279,0.9665,1.2552,3.7241,0.9394,1.5295,1.4848,1.2329,1.1356,0.6427,2.3094,0.7305,0.8708,0.8868,0.7177,0.5837,0.9825,0.8947,0.3955,1.3254,0.2898,Ts65Dn,Saline,C/S,TSC
18898_10,NA,NA,NA,0.3627,NA,1.1137,NA,NA,NA,0.265,0.4681,0.4923,0.3333,1.2158,0.2976,NA,1.0524,0.6258,0.2324,0.1782,1.1909,1.2369,0.4183,0.5754,0.5926,NA,NA,1.3627,0.4266,0.6596,NA,NA,0.3761,0.3244,NA,NA,2.3461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7081,NA,2.103,NA,NA,NA,NA,0.3309,0.5733,1.9966,2.2259,1.4804,0.5685,NA,0.5822,0.3495,0.3578,NA,0.2616,0.4901,0.8701,0.382,0.6301,1.7463,NA,NA,NA,0.5616,0.8709,1.0952,NA,NA,1.024,0.5291,NA,NA,1.9198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1101,2.0336,3.8838,1.2324,1.6361,1.7034,1.6055,1.4159,0.9602,2.4251,1.0367,1.3823,1.1774,0.8654,0.5229,1.0612,1.0917,0.4067,1.422,0.2991,Ts65Dn,Saline,C/S,TSC
18898_11,NA,NA,NA,0.3372,NA,1.1738,NA,NA,NA,0.2646,0.487,0.546,0.3664,1.2296,0.356,NA,1.0804,0.6427,0.2516,0.1492,1.2678,1.275,0.4228,0.5428,0.618,NA,NA,1.3748,0.4598,0.6796,NA,NA,0.4287,0.358,NA,NA,2.4267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6229,NA,2.0967,NA,NA,NA,NA,0.3379,0.564,1.9356,2.1453,1.4109,0.601,NA,0.5854,0.3487,0.3794,NA,0.2903,0.4773,0.8334,0.416,0.7708,1.6807,NA,NA,NA,0.4548,0.8573,1.0961,NA,NA,0.98,0.5166,NA,NA,2.0168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9605,1.4289,3.3684,1.0132,1.4053,1.6053,1.1316,1.2,0.8053,2.0289,0.9816,1.1921,1.1079,0.7237,0.5158,0.9789,0.9763,0.3816,1.2553,0.2544,Ts65Dn,Saline,C/S,TSC
18898_12,NA,NA,NA,0.2636,NA,1.0555,NA,NA,NA,0.2496,0.4342,0.5646,0.4372,1.152,0.3559,NA,1.0146,0.6248,0.2537,0.121,1.1596,1.1362,0.4097,0.5196,0.6324,NA,NA,1.2227,0.5003,0.671,NA,NA,0.519,0.2794,NA,NA,2.5348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4954,NA,2.0308,NA,NA,NA,NA,0.3232,0.58,1.8581,2.0318,1.3088,0.6183,NA,0.5636,0.3492,0.3697,NA,0.3357,0.4518,0.7995,0.3922,0.8115,1.6608,NA,NA,NA,0.4516,0.8314,1.0908,NA,NA,0.9466,0.5086,NA,NA,2.1402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9634,1.4951,3.1634,0.961,1.2366,1.4683,1.0829,1.0854,0.5585,2.0244,0.9537,0.9098,1.0488,0.7098,0.4293,0.6805,0.9024,0.3049,1.0488,0.27675,Ts65Dn,Saline,C/S,TSC
18898_13,NA,NA,NA,0.4979,NA,1.1893,NA,NA,NA,0.2798,0.5823,0.5648,0.4208,1.5298,0.2726,NA,1.1883,0.7027,0.2695,0.2356,1.3035,1.3909,0.4805,0.7119,0.7973,NA,NA,1.5761,0.499,0.7325,NA,NA,0.5175,0.3971,NA,NA,2.5823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5631,NA,2.0651,NA,NA,NA,NA,0.3456,0.5959,2.0899,2.3106,1.4377,0.565,NA,0.6374,0.3942,0.3973,NA,0.2894,0.4535,0.8539,0.4671,0.7159,1.7742,NA,NA,NA,0.6102,0.983,1.1888,NA,NA,1.1273,0.555,NA,NA,2.0566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0893,2.8429,3.9071,1.2071,1.6179,2.75,1.6964,1.4107,1.0536,2.2214,1.275,1.4071,1.3393,0.9607,0.5107,0.9679,1.2286,0.4857,1.5643,0.2991,Ts65Dn,Saline,C/S,TSC
18898_14,NA,NA,NA,0.4605,NA,1.3081,NA,NA,NA,0.3192,0.6274,0.6385,0.4705,1.6151,0.3693,NA,1.3582,0.7875,0.327,0.2047,1.505,1.5495,0.5295,0.7853,0.9377,NA,NA,2.1179,0.5829,0.8198,NA,NA,0.4894,0.3782,NA,NA,2.812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5218,NA,2.0238,NA,NA,NA,NA,0.3505,0.6307,2.0381,2.2893,1.4091,0.6088,NA,0.6493,0.4141,0.416,NA,0.3467,0.4515,0.8389,0.4646,0.7672,1.7639,NA,NA,NA,0.5459,0.9864,1.2271,NA,NA,1.1194,0.569,NA,NA,2.2578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1645,3.1645,3.625,1.2993,1.4967,1.8717,1.4276,1.2007,0.8322,2.3026,1.0691,1.3322,1.2533,0.6217,0.5132,0.8454,1.023,0.4803,1.1447,0.174706061,Ts65Dn,Saline,C/S,TSC
18898_15,NA,NA,NA,0.3359,NA,1.1367,NA,NA,NA,0.3232,0.5332,0.71,0.6221,1.5205,0.3584,NA,1.1797,0.7236,0.2607,0.1982,1.2822,1.3955,0.499,0.6865,0.8711,NA,NA,1.4727,0.5938,0.8311,NA,NA,0.584,0.3145,NA,NA,2.8916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4556,NA,1.9666,NA,NA,NA,NA,0.3527,0.6383,1.9715,2.1717,1.2745,0.6236,NA,0.6335,0.4034,0.4264,NA,0.3566,0.4312,0.8198,0.4574,0.893,1.8116,NA,NA,NA,0.5819,0.9468,1.2283,NA,NA,1.0483,0.5805,NA,NA,2.4162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9594,1.5375,3.475,0.9563,1.4219,1.5656,1.3406,1.0063,0.6656,2.1156,1.0938,1.1563,1.5313,0.75,0.4594,0.5969,0.9906,0.3563,1.1781,0.27675,Ts65Dn,Saline,C/S,TSC
18898_2,NA,NA,NA,0.2697,NA,1.2503,NA,NA,NA,0.2594,0.445,0.5045,0.3477,1.1543,0.4353,NA,0.8849,0.6213,0.196,0.108,1.4793,1.3254,0.413,0.5605,0.597,NA,NA,1.2597,0.4466,0.631,NA,NA,0.379,0.3221,NA,NA,2.186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6572,1.087,0.3432,1.9577,1.9384,0.3895,2.297,0.256,0.5815,0.4831,0.9237,0.2771,0.3147,1.5984,1.8144,1.4513,0.5525,0.462,0.4378,0.1621,0.2305,0.2398,0.2279,0.5394,0.7852,0.2438,0.5196,1.3685,0.358,0.2561,0.9161,0.2272,0.5427,0.7487,1.0772,0.4708,0.6518,0.3085,0.3759,0.6173,1.3473,0.1503,1.2325,0.3063,2.9464,0.8228,0.8064,0.7469,1.19,0.6389,0.3994,0.3348,0.3188,0.2453,0.2759,0.5628,0.3421,0.326,0.823,0.4473,1.3614,2.5255,0.1831,1.08,1.8528,0.3192,0.9798,0.927,3.6134,0.8991,1.4876,1.7189,1.2081,1.1258,0.5901,2.3168,0.7469,0.8416,0.8463,0.7205,0.5823,0.8602,0.896,0.3711,1.3478,0.250875,Ts65Dn,Saline,C/S,TSC
18898_3,NA,NA,NA,0.2301,NA,1.2109,NA,NA,NA,0.2575,0.4564,0.542,0.424,1.1904,0.4337,NA,0.8499,0.6597,0.2232,0.1196,1.4205,1.2704,0.4142,0.5738,0.6512,NA,NA,1.2534,0.5272,0.6925,NA,NA,0.4747,0.3179,NA,NA,0.9071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6618,1.0773,0.3443,1.9478,1.7979,0.369,2.2515,0.2584,0.563,0.4797,0.8655,0.2739,0.3508,1.5277,1.7077,1.3589,0.5831,0.4487,0.4553,0.2177,0.2225,0.23,0.2464,0.5179,0.7515,0.2379,0.597,1.3841,0.3342,0.2501,0.8743,0.2582,0.5421,0.7832,1.0731,0.4596,0.61,0.3,0.3674,0.5854,1.49,0.1447,1.3223,0.3022,2.9459,0.8143,0.7758,0.7267,1.2873,0.6202,0.4058,0.3318,0.3046,0.233,0.2702,0.5521,0.3244,0.3124,0.7096,0.4097,1.2767,2.541,0.1787,1.0235,1.7676,0.3364,0.7775,2.5588,2.935,0.685,1.1813,1.4825,0.8775,0.9413,0.3963,1.81,0.5563,0.7038,0.6613,0.56,0.4088,0.71,0.7375,0.265,0.9863,0.279725,Ts65Dn,Saline,C/S,TSC
18898_4,NA,NA,NA,0.3192,NA,1.2245,NA,NA,NA,0.2592,0.455,0.4781,0.329,1.1628,0.3535,NA,0.8676,0.6071,0.2001,0.1401,1.3196,1.3192,0.4156,0.5163,0.551,NA,NA,1.3458,0.4327,0.6375,NA,NA,0.4083,0.3111,NA,NA,2.2065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7088,1.0706,0.2833,2.0425,1.9739,0.3084,2.4096,0.2103,0.6014,0.5115,0.9794,0.3022,0.3804,1.8108,2.0039,1.5465,0.5859,0.3675,0.5284,0.234,0.2821,0.1549,0.2437,0.5819,0.879,0.3203,0.5762,1.4579,0.2469,0.2602,0.8363,0.3651,0.6767,0.9074,1.3514,0.4049,0.8296,0.3981,0.2544,0.5959,1.5084,0.1257,1.2294,0.1684,3.19,0.7304,0.8558,0.7179,1.377,0.5605,0.3564,0.264,0.2495,0.1595,0.2502,0.4731,0.2773,0.2539,0.7861,0.3292,1.352,2.8801,0.1306,1.0388,2.0613,0.2172,1.099,1.4762,3.9429,1.0343,1.5771,1.619,1.1657,1.12,0.7333,2.2305,0.8781,1.0114,1.021,0.7524,0.5486,0.9105,0.979,0.3695,1.3276,0.2898,Ts65Dn,Saline,C/S,TSC
